Coordenadas,Tipo Transporte,Coordenadas de Accidente,Tipo Accidente,Tiempo,Costo,Descripcion Accidente
"(19.383082625228962, -99.1906271466764)",CAMINAR,Ninguna,Ninguno,05:30,$0.00,
"(19.38367013560702, -99.19071438138118)",CAMINAR,Ninguna,Ninguno,05:33,$0.00,
"(19.383189401820953, -99.18691637376372)",CAMINAR,Ninguna,Ninguno,05:37,$0.00,
"(19.383189401820953, -99.18691637376372)",CAMION,Ninguna,Ninguno,05:42,$7.00,
"(19.362798100345877, -99.18939848852227)",CAMION, Ninguna,Ninguno,05:50,$0.00,
"(19.36335035857047, -99.18929792681007)",CAMION,Ninguna,Ninguno,05:51,$8.00,
"(19.363366806752282, -99.19094748520327)",CAMION,Ninguna,Ninguno,05:54,$0.00,
"(19.36195731806358, -99.1911848607275)",CAMION,Ninguna,Ninguno,05:56,$0.00,
"(19.360743933375186, -99.19180445103517)",CAMION,Ninguna,Ninguno,05:57,$0.00,
"(19.359639353229568, -99.19286794690024)",CAMION,Ninguna,Ninguno,05:59,$0.00,
"(19.35794767359772, -99.19483802941778)",CAMION,Ninguna,Ninguno,06:02,$0.00,
"(19.357484577978862, -99.1955380860187)",CAMION,Ninguna,Ninguno,06:04,$0.00,
"(19.356202833812038, -99.19854618336596)",CAMION,Ninguna,Ninguno,06:12,$0.00,
"(19.35471862981145, -99.1996043147961)",CAMION,"(19.355956100049482, -99.19873662025921)",Obstruccion vehicular,06:16,$0.00,"Varios vehiculos intentando pasar, obstruyeron el paso"
"(19.353460733328404, -99.20014482299915)",CAMION,Ninguna,Ninguno,06:19,$0.00,
"(19.349479983112893, -99.20106213846421)",CAMION,Ninguna,Ninguno,06:26,$0.00,
"(19.348582845751878, -99.20127269189767)",CAMION,"(19.349247158074984, -99.20110639495395)",Obstruccion vehicular,06:36,$0.00,"Varios vehiculos intentado pasar, obstruyeron el paso"
"(19.34739593432179, -99.20168172875911)",CAMION,Ninguna,Ninguno,06:42,$0.00,
"(19.346239307986004, -99.20203132897294)",CAMION,Ninguna,Ninguno,06:46,$0.00,
